wort;artikel;silben;trennung;wortart;gruppe;bild;bedeutung;satz;liste
schmücken;;schmü-cken;schmü-cken;Verb;;;;;Merkwörter Klasse 2
Lichterkette;die;Lich-ter-ket-te;Lich-ter-ket-te;Nomen;;;;;Merkwörter Klasse 2
leuchten;;leuch-ten;leuch-ten;Verb;;;;;Merkwörter Klasse 2
Lehrerin;die;Leh-re-rin;Leh-re-rin;Nomen;;;;;Merkwörter Klasse 2
außerdem;;au-ßer-dem;au-ßer-dem;anderes;;;;;Merkwörter Klasse 2
Weihnachtsbräuche;die;Weih-nachts-bräu-che;Weih-nachts-bräu-che;Nomen;;;;;Merkwörter Klasse 2
unterschiedlich;;un-ter-schied-lich;un-ter-schied-lich;Adjektiv;;;;;Merkwörter Klasse 2
Länder;die;Län-der;Län-der;Nomen;;;;;Merkwörter Klasse 2
freuen;;freu-en;freu-en;Verb;;;;;Merkwörter Klasse 2
Satellit;der;Sa-tel-lit;Sa-tel-lit;Nomen;;;ein Gerät, das um die Erde kreist;Der Satellit sendet Bilder zur Erde.;Merkwörter Klasse 2
Ufo;das;U-fo;Ufo;Nomen;;;;;Merkwörter Klasse 2
Meteorit;der;Me-te-o-rit;Me-te-o-rit;Nomen;;;ein Gesteinsbrocken aus dem All, der auf die Erde fällt;Ein Meteorit schlug im Wüstensand ein.;Merkwörter Klasse 2
Alien;das;A-li-en;Ali-en;Nomen;;;;;Merkwörter Klasse 2
Weltall;das;Welt-all;Welt-all;Nomen;;;der unendlich große Raum außerhalb der Erde;Im Weltall gibt es unzählige Sterne.;Merkwörter Klasse 2
Rakete;die;Ra-ke-te;Ra-ke-te;Nomen;;;;;Merkwörter Klasse 2
Schnee;der;Schnee;Schnee;Nomen;;;;;Merkwörter Klasse 2
Freunde;die;Freun-de;Freun-de;Nomen;;;;;Merkwörter Klasse 2
Sonntag;der;Sonn-tag;Sonn-tag;Nomen;;;;;Merkwörter Klasse 2
Treffpunkt;der;Treff-punkt;Treff-punkt;Nomen;;;;;Merkwörter Klasse 2
pünktlich;;pünkt-lich;pünkt-lich;Adjektiv;;;;;Merkwörter Klasse 2
Materialien;die;Ma-te-ri-a-li-en;Ma-te-ri-a-li-en;Nomen;;;;;Merkwörter Klasse 2
Vorkehrungen;die;Vor-keh-run-gen;Vor-keh-run-gen;Nomen;;;Dinge, die man vorher vorbereitet;Wir treffen Vorkehrungen für den Ausflug.;Merkwörter Klasse 2
dick;;dick;dick;Adjektiv;;;;;Merkwörter Klasse 2
Karotte;die;Ka-rot-te;Ka-rot-te;Nomen;;;;;Merkwörter Klasse 2
vortrefflich;;vor-treff-lich;vor-treff-lich;Adjektiv;;;;;Merkwörter Klasse 2
Kohlestücke;die;Koh-le-stü-cke;Koh-le-stü-cke;Nomen;;;;;Merkwörter Klasse 2
Öffnung;die;Öff-nung;Öff-nung;Nomen;;;;;Merkwörter Klasse 2
Leibgericht;das;Leib-ge-richt;Leib-ge-richt;Nomen;;;das Lieblingsessen von jemandem;Nudeln mit Soße sind mein Leibgericht.;Merkwörter Klasse 2
Geburtstag;der;Ge-burts-tag;Ge-burts-tag;Nomen;;;;;Merkwörter Klasse 2
serviert;;ser-viert;ser-viert;Adjektiv;;;;;Merkwörter Klasse 2
Brot;das;Brot;Brot;Nomen;;;;;Merkwörter Klasse 2
Postamt;das;Post-amt;Post-amt;Nomen;;;;;Merkwörter Klasse 2
Wand;die;Wand;Wand;Nomen;;;;;Merkwörter Klasse 2
Kleid;das;Kleid;Kleid;Nomen;;;;;Merkwörter Klasse 2
bald;;bald;bald;anderes;;;;;Merkwörter Klasse 2
Kind;das;Kind;Kind;Nomen;;;;;Merkwörter Klasse 2
Berg;der;Berg;Berg;Nomen;;;;;Merkwörter Klasse 2
Korb;der;Korb;Korb;Nomen;;;;;Merkwörter Klasse 2
Blut;das;Blut;Blut;Nomen;;;;;Merkwörter Klasse 2
Wut;die;Wut;Wut;Nomen;;;;;Merkwörter Klasse 2
Sand;der;Sand;Sand;Nomen;;;;;Merkwörter Klasse 2
Bild;das;Bild;Bild;Nomen;;;;;Merkwörter Klasse 2
Wort;das;Wort;Wort;Nomen;;;;;Merkwörter Klasse 2
Pferd;das;Pferd;Pferd;Nomen;;;;;Merkwörter Klasse 2
Zeit;die;Zeit;Zeit;Nomen;;;;;Merkwörter Klasse 2
Rad;das;Rad;Rad;Nomen;;;;;Merkwörter Klasse 2
Welt;die;Welt;Welt;Nomen;;;;;Merkwörter Klasse 2
Hemd;das;Hemd;Hemd;Nomen;;;;;Merkwörter Klasse 2
Bank;die;Bank;Bank;Nomen;;;;;Merkwörter Klasse 2
Schrank;der;Schrank;Schrank;Nomen;;;;;Merkwörter Klasse 2
Tag;der;Tag;Tag;Nomen;;;;;Merkwörter Klasse 2
Zeitung;die;Zei-tung;Zei-tung;Nomen;;;;;Merkwörter Klasse 2
Flug;der;Flug;Flug;Nomen;;;;;Merkwörter Klasse 2
Burg;die;Burg;Burg;Nomen;;;;;Merkwörter Klasse 2
Käfig;der;Kä-fig;Kä-fig;Nomen;;;;;Merkwörter Klasse 2
Freund;der;Freund;Freund;Nomen;;;;;Merkwörter Klasse 2
Flugzeug;das;Flug-zeug;Flug-zeug;Nomen;;;;;Merkwörter Klasse 2
Sieb;das;Sieb;Sieb;Nomen;;;;;Merkwörter Klasse 2
Ring;der;Ring;Ring;Nomen;;;;;Merkwörter Klasse 2
Lied;das;Lied;Lied;Nomen;;;;;Merkwörter Klasse 2
Zwerg;der;Zwerg;Zwerg;Nomen;;;;;Merkwörter Klasse 2
Lob;das;Lob;Lob;Nomen;;;;;Merkwörter Klasse 2
Quadrat;das;Qua-drat;Qua-drat;Nomen;;;;;Merkwörter Klasse 2
Qualmen;das;Qual-men;Qual-men;Nomen;;;;;Merkwörter Klasse 2
Quiz;das;Quiz;Quiz;Nomen;;;;;Merkwörter Klasse 2
Quark;der;Quark;Quark;Nomen;;;;;Merkwörter Klasse 2
überqueren;;ü-ber-que-ren;über-que-ren;Verb;;;;;Merkwörter Klasse 2
Quirl;der;Quirl;Quirl;Nomen;;;ein Küchengerät zum Rühren;Mit dem Quirl rührt Papa die Soße.;Merkwörter Klasse 2
quieken;;quie-ken;quie-ken;Verb;;;;;Merkwörter Klasse 2
Quittung;die;Quit-tung;Quit-tung;Nomen;;;;;Merkwörter Klasse 2
quatschen;;quat-schen;quat-schen;Verb;;;;;Merkwörter Klasse 2
Quitte;die;Quit-te;Quit-te;Nomen;;;eine harte gelbe Frucht, die gekocht wird;Aus der Quitte kocht Oma Gelee.;Merkwörter Klasse 2
Quietschen;das;Quiet-schen;Quiet-schen;Nomen;;;;;Merkwörter Klasse 2
quer;;quer;quer;Adjektiv;;;;;Merkwörter Klasse 2
quetschen;;quet-schen;quet-schen;Verb;;;;;Merkwörter Klasse 2
Quelle;die;Quel-le;Quel-le;Nomen;;;die Stelle, an der ein Bach aus der Erde tritt;An der Quelle beginnt der Bach.;Merkwörter Klasse 2
gleichgültig;;gleich-gül-tig;gleich-gül-tig;Adjektiv;;;;;Merkwörter Klasse 2
Gondel;die;Gon-del;Gon-del;Nomen;;;ein schmales Boot in Venedig;Die Gondel gleitet durch den Kanal.;Merkwörter Klasse 2
keifen;;kei-fen;kei-fen;Verb;;;;;Merkwörter Klasse 2
